STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 0:51,FM-15,CLR:00,10,,41,5,35,1.6,25,-3.9,53,6,VRB,,29.95,1,,30.09,0,30.12,,,,,,,,,,540,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 1:51,FM-15,CLR:00,10,,41,5,35,1.6,25,-3.9,53,9,10,,29.95,,,30.1,0,30.12,,,,,,,,,,540,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 2:51,FM-15,CLR:00,10,,40,4.4,34,1.3,25,-3.9,55,9,VRB,,29.95,,,30.09,0,30.12,,,,,,,,,,540,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 3:51,FM-15,CLR:00,10,,40,4.4,34,1.1,24,-4.4,53,8,VRB,16,29.94,8,,30.09,0,30.11,,,,,,,,,,540,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 4:51,FM-15,CLR:00,10,,39,3.9,34,0.9,25,-3.9,57,3,VRB,,29.95,,,30.1,0,30.12,,,,,,,,,,540,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 5:51,FM-15,CLR:00,10,,39,3.9,34,1,25,-3.9,57,7,VRB,,29.97,,,30.12,0,30.14,,,,,,,,,,540,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 6:51,FM-15,CLR:00,10,,40,4.4,34,1.3,25,-3.9,55,3,VRB,,29.98,3,,30.13,0,30.15,,,,,,,,,,540,1820,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 7:51,FM-15,CLR:00,10,,42,5.6,35,1.9,25,-3.9,51,5,VRB,,29.99,,,30.13,0,30.16,,,,,,,,,,540,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 8:51,FM-15,CLR:00,10,,45,7.2,37,2.9,25,-3.9,46,7,VRB,,29.98,,,30.12,0,30.15,,,,,,,,,,540,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 9:51,FM-15,CLR:00,10,,49,9.4,40,4.4,27,-2.8,43,6,VRB,,29.97,8,,30.12,0,30.14,,,,,,,,,,540,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 10:51,FM-15,CLR:00,10,,50,10,40,4.7,27,-2.8,41,5,VRB,,29.95,,,30.1,0,30.12,,,,,,,,,,540,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 11:51,FM-15,CLR:00,10,,53,11.7,42,5.6,27,-2.8,37,0,0,,29.93,,,30.07,0,30.1,,,,,,,,,,540,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 12:51,FM-15,CLR:00,10,,55,12.8,43,6.3,28,-2.2,35,5,VRB,,29.9,8,,30.05,0,30.07,,,,,,,,,,540,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 13:51,FM-15,CLR:00,10,,56,13.3,44,6.6,28,-2.2,34,5,250,,29.88,,,30.03,0,30.05,,,,,,,,,,540,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 14:51,FM-15,CLR:00,10,,58,14.4,45,7.3,29,-1.7,33,5,270,,29.87,,,30.02,0,30.04,,,,,,,,,,540,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 15:51,FM-15,CLR:00,10,,59,15,46,7.8,30,-1.1,33,0,0,,29.84,8,,29.99,0,30.01,,,,,,,,,,540,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 16:51,FM-15,FEW:02 120,10,,58,14.4,46,7.7,31,-0.6,36,5,240,,29.85,,,30,0,30.02,,,,,,,,,,540,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 17:51,FM-15,CLR:00,10,,52,11.1,43,5.8,30,-1.1,43,5,VRB,,29.86,,,30,0,30.03,,,,,,,,,,540,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 18:51,FM-15,FEW:02 110,10,,50,10,41,5.3,30,-1.1,46,5,VRB,,29.89,3,,30.04,0,30.06,,,,,,,,,,540,1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 19:51,FM-15,FEW:02 110,10,,49,9.4,41,5,30,-1.1,48,5,170,,29.92,,,30.07,0,30.09,,,,,,,,,,538,1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 20:51,FM-15,CLR:00,10,,48,8.9,41,5.1,32,0,54,5,VRB,,29.91,,,30.06,0,30.08,,,,,,,,,,538,1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 21:51,FM-15,CLR:00,10,,46,7.8,40,4.3,31,-0.6,56,6,VRB,,29.93,1,,30.08,0,30.1,,,,,,,,,,538,1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,4/1/2014 22:51,FM-15,CLR:00,10,,46,7.8,40,4.5,32,0,58,0,0,,29.92,,,30.07,0,30.09,,,,,,,,,,538,1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
